CUENTA;FECMOV;CPBINT;DESMOV;DEBHAB;IMPMOV;CPBINTAUX;RUBRO
880301100;02/04/2009;13643;Serv Publi NEXTEL C. ARGENTINA;D;276,10;1008773411;
220408600;02/04/2009;13643;Serv Publi NEXTEL C. ARGENTINA;H;276,10;1008773411;
880301100;03/04/2009;13645;Serv Publi TELEFONICA DE ARGEN;D;34,11;320090403;
220408200;03/04/2009;13645;Serv Publi TELEFONICA DE ARGEN;H;34,11;320090403;
220408600;13/04/2009;13647;NEXTEL;D;276,10;;
100300200;13/04/2009;13647;NEXTEL;H;276,10;;
220407800;13/04/2009;13647;METROGAS CORRIENTES;D;16,89;;
100300200;13/04/2009;13647;METROGAS CORRIENTES;H;16,89;;
220500100;14/04/2009;13648;A.F.I.P. SUS;D;57555,41;;
100300700;14/04/2009;13648;A.F.I.P. SUS;H;57555,41;;
220700800;16/04/2009;13649;CARLOS O.BERGNA CTA.PARTICULAR;D;183,00;;
100300200;16/04/2009;13649;CARLOS O.BERGNA CTA.PARTICULAR;H;183,00;;
100702600;01/04/2009;13650;GAS NATURAL 31-3;D;4,77;131713774;
100702600;01/04/2009;13650;GAS NATURAL 31-3;D;0,88;131713774;
880301100;01/04/2009;13650;GAS NATURAL 31-3;H;5,65;;
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;4791,05
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;4791,05
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;5083,98
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;5083,98
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;5392,93
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;5392,93
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;1429,01
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;1429,01
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;1859,02
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;1859,02
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;1876,17
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;1876,17
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;1900,65
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;1900,65
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;1996,06
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;1996,06
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;2142,81;
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;2142,81;
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;2704,77;
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;2704,77;
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;2807,87;
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;2807,87;
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;3218,72;
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;3218,72;
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;3929,22;
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;3929,22;
220500110;16/04/2009;13652;A.F.I.P. RAF SUS;D;4211,39;
100300700;16/04/2009;13652;A.F.I.P. RAF SUS;H;4211,39;
220603900;16/04/2009;13652;A.F.I.P. RAF PART. SOC.;D;1018,86;
100300700;16/04/2009;13652;A.F.I.P. RAF PART. SOC.;H;1018,86;
880301100;09/04/2009;13658;Serv Publi TELEFONICA DE ARGEN;D;98,58;9171252
220408200;09/04/2009;13658;Serv Publi TELEFONICA DE ARGEN;H;98,58;9171252
880300400;01/04/2009;13666;Cpra Comes ANALIA E. BUJANDA;D;318,12;100000553
220401100;01/04/2009;13666;Cpra Comes ANALIA E. BUJANDA;H;318,12;100000553
880300400;03/04/2009;13668;Cpra Comes ANALIA E. BUJANDA;D;352,80;100000554
220401100;03/04/2009;13668;Cpra Comes ANALIA E. BUJANDA;H;352,80;100000554
880300300;01/04/2009;13670;Cpra Medic VELAZCO 409 S.A.;D;2400,00;100002698
220426300;01/04/2009;13670;Cpra Medic VELAZCO 409 S.A.;H;2400,00;100002698
880300400;02/04/2009;13674;Cpra Comes MASTELLONE HNOS. S.;D;55,80;8822452875
220400300;02/04/2009;13674;Cpra Comes MASTELLONE HNOS. S.;H;55,80;8822452875
880300400;03/04/2009;13676;Cpra Comes MASTELLONE HNOS. S.;D;55,80;8822463222
220400300;03/04/2009;13676;Cpra Comes MASTELLONE HNOS. S.;H;55,80;8822463222
880300400;04/04/2009;13678;Cpra Comes MASTELLONE HNOS. S.;D;55,80;8822470948
220400300;04/04/2009;13678;Cpra Comes MASTELLONE HNOS. S.;H;55,80;8822470948
880300400;06/04/2009;13680;Cpra Comes MASTELLONE HNOS. S.;D;55,80;8822480929
220400300;06/04/2009;13680;Cpra Comes MASTELLONE HNOS. S.;H;55,80;8822480929
880300400;07/04/2009;13682;Cpra Comes MASTELLONE HNOS. S.;D;55,80;8822491413
220400300;07/04/2009;13682;Cpra Comes MASTELLONE HNOS. S.;H;55,80;8822491413
880300400;08/04/2009;13684;Cpra Comes MASTELLONE HNOS. S.;D;55,80;8822503318
220400300;08/04/2009;13684;Cpra Comes MASTELLONE HNOS. S.;H;55,80;8822503318
880300300;01/04/2009;13686;Cpra Medic FARMACIA NUEVO PUEN;D;796,48;200165973
220425200;01/04/2009;13686;Cpra Medic FARMACIA NUEVO PUEN;H;796,48;200165973
880300300;01/04/2009;13688;Cpra Medic FARMACIA NUEVO PUEN;D;253,55;200165974
220425200;01/04/2009;13688;Cpra Medic FARMACIA NUEVO PUEN;H;253,55;200165974
880300300;03/04/2009;13690;Cpra Medic FARMACIA NUEVO PUEN;D;223,45;300136685
220425200;03/04/2009;13690;Cpra Medic FARMACIA NUEVO PUEN;H;223,45;300136685
880300300;01/04/2009;13692;Cpra Medic FARMACIA NUEVO PUEN;D;79,16;300136528
220425200;01/04/2009;13692;Cpra Medic FARMACIA NUEVO PUEN;H;79,16;300136528
880300300;01/04/2009;13694;Cpra Medic FARMACIA NUEVO PUEN;D;138,94;300136531
220425200;01/04/2009;13694;Cpra Medic FARMACIA NUEVO PUEN;H;138,94;300136531
880300300;03/04/2009;13696;Cpra Medic FARMACIA NUEVO PUEN;D;30,47;300136711
220425200;03/04/2009;13696;Cpra Medic FARMACIA NUEVO PUEN;H;30,47;300136711
880300300;07/04/2009;13698;Cpra Medic FARMACIA NUEVO PUEN;D;316,03;200166726
220425200;07/04/2009;13698;Cpra Medic FARMACIA NUEVO PUEN;H;316,03;200166726
880300300;08/04/2009;13700;Cpra Medic FARMACIA NUEVO PUEN;D;104,40;200166826
220425200;08/04/2009;13700;Cpra Medic FARMACIA NUEVO PUEN;H;104,40;200166826
880300300;08/04/2009;13702;Cpra Medic FARMACIA NUEVO PUEN;D;476,45;300137109
220425200;08/04/2009;13702;Cpra Medic FARMACIA NUEVO PUEN;H;476,45;300137109
880300300;08/04/2009;13704;Cpra Medic FARMACIA NUEVO PUEN;D;622,70;300137110
220425200;08/04/2009;13704;Cpra Medic FARMACIA NUEVO PUEN;H;622,70;300137110
880300300;14/04/2009;13706;Cpra Medic FARMACIA NUEVO PUEN;D;8,58;300137621
220425200;14/04/2009;13706;Cpra Medic FARMACIA NUEVO PUEN;H;8,58;300137621
880300300;15/04/2009;13708;Cpra Medic FARMACIA NUEVO PUEN;D;885,63;300137683
220425200;15/04/2009;13708;Cpra Medic FARMACIA NUEVO PUEN;H;885,63;300137683
880300300;15/04/2009;13710;Cpra Medic FARMACIA NUEVO PUEN;D;838,82;300137684
220425200;15/04/2009;13710;Cpra Medic FARMACIA NUEVO PUEN;H;838,82;300137684
880300400;09/04/2009;13712;Cpra Comes MASTELLONE HNOS. S.;D;55,80;8822514759
220400300;09/04/2009;13712;Cpra Comes MASTELLONE HNOS. S.;H;55,80;8822514759
880300400;10/04/2009;13714;Cpra Comes MASTELLONE HNOS. S.;D;81,89;8822521417
220400300;10/04/2009;13714;Cpra Comes MASTELLONE HNOS. S.;H;81,89;8822521417
880300400;17/04/2009;13716;Cpra Comes MASTELLONE HNOS. S.;D;55,80;8822582421
220400300;17/04/2009;13716;Cpra Comes MASTELLONE HNOS. S.;H;55,80;8822582421
880300400;18/04/2009;13718;Cpra Comes MASTELLONE HNOS. S.;D;55,80;8822592368
220400300;18/04/2009;13718;Cpra Comes MASTELLONE HNOS. S.;H;55,80;8822592368
880301000;10/04/2009;13720;Gtos Mante ALBERTO AYALA;D;750,00;100000213
220417700;10/04/2009;13720;Gtos Mante ALBERTO AYALA;H;750,00;100000213
880301000;24/04/2009;13722;Gtos Mante ALBERTO AYALA;D;750,00;100000215
220417700;24/04/2009;13722;Gtos Mante ALBERTO AYALA;H;750,00;100000215
880300400;02/04/2009;13724;Cpra Comes ANGEL MARIO GATTI;D;32,40;100013514
220403300;02/04/2009;13724;Cpra Comes ANGEL MARIO GATTI;H;32,40;100013514
880300400;07/04/2009;13726;Cpra Comes ANGEL MARIO GATTI;D;72,50;100013543
220403300;07/04/2009;13726;Cpra Comes ANGEL MARIO GATTI;H;72,50;100013543
880300400;09/04/2009;13728;Cpra Comes ANGEL MARIO GATTI;D;38,00;100013550
220403300;09/04/2009;13728;Cpra Comes ANGEL MARIO GATTI;H;38,00;100013550
880300400;11/04/2009;13730;Cpra Comes ANGEL MARIO GATTI;D;273,60;100013560
220403300;11/04/2009;13730;Cpra Comes ANGEL MARIO GATTI;H;273,60;100013560
880300400;11/04/2009;13732;Cpra Comes ANGEL MARIO GATTI;D;25,20;100013567
220403300;11/04/2009;13732;Cpra Comes ANGEL MARIO GATTI;H;25,20;100013567
880300400;12/04/2009;13734;Cpra Comes ANGEL MARIO GATTI;D;4,30;100013573
220403300;12/04/2009;13734;Cpra Comes ANGEL MARIO GATTI;H;4,30;100013573
880300400;14/04/2009;13736;Cpra Comes ANGEL MARIO GATTI;D;22,00;100013585
220403300;14/04/2009;13736;Cpra Comes ANGEL MARIO GATTI;H;22,00;100013585
880300400;16/04/2009;13738;Cpra Comes ANGEL MARIO GATTI;D;6,00;100013594
220403300;16/04/2009;13738;Cpra Comes ANGEL MARIO GATTI;H;6,00;100013594
880300400;17/04/2009;13740;Cpra Comes ANGEL MARIO GATTI;D;15,00;100013600
220403300;17/04/2009;13740;Cpra Comes ANGEL MARIO GATTI;H;15,00;100013600
880301000;04/04/2009;13742;Gtos Mante MARIANO GONZALEZ;D;154,30;100001786
220417800;04/04/2009;13742;Gtos Mante MARIANO GONZALEZ;H;154,30;100001786
880301000;17/04/2009;13744;Gtos Mante MARIANO GONZALEZ;D;305,90;100001798
